"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"98",9,"Zach Gentry",PIT,"73","90","81.5","8.5"
"99",9,"Jeremy Sprinkle",DAL,"81","82","81.5","0.5"
"100",10,"Tommy Sweeney",BUF,"80","140","103.0","26.4"
"101",10,"Tyler Davis",JAC,"85","85","85.0","0.0"
"102",10,"Eric Saubert",DEN,"84","87","85.5","1.5"
"103",10,"Ricky Seals-Jones",WAS,"82","91","86.5","4.5"
"104",10,"Lee Smith",ATL,"91","93","92.0","1.0"
"105",10,"Jordan Thomas",IND,"92","92","92.0","0.0"
"106",10,"Stephen Anderson",LAC,"86","120","103.0","17.0"
"107",10,"Thaddeus Moss",CIN,"90","117","103.5","13.5"
"108",10,"Mason Schreck",CIN,"91","119","105.0","14.0"
"109",10,"Stephen Sullivan",CAR,"93","102","97.5","4.5"
