"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"98",8,"Jermar Jefferson",DET,"60","122","90.3","11.6"
"99",9,"Chris Thompson",JAC,"83","131","95.7","7.7"
"100",9,"Peyton Barber",WAS,"75","122","99.6","7.7"
"101",9,"Elijah Mitchell",SF,"56","192","84.8","24.3"
"102",9,"Larry Rountree III",LAC,"47","118","87.8","16.4"
"103",9,"Mike Boone",DEN,"65","109","92.5","12.3"
"104",9,"Royce Freeman",DEN,"86","131","100.7","9.3"
"105",9,"Ryquell Armstead",NYG,"84","123","97.3","9.9"
"106",9,"Chris Evans",CIN,"55","118","82.8","15.9"
"107",9,"Bryce Love",WAS,"83","156","95.7","14.0"
"108",9,"Qadree Ollison",ATL,"57","116","87.5","18.4"
"109",9,"Devine Ozigbo",JAC,"88","150","104.9","16.3"
"110",9,"Dare Ogunbowale",JAC,"92","160","106.3","15.0"
"111",9,"Khalil Herbert",CHI,"69","169","99.4","19.3"
"112",9,"Kylin Hill",GB,"66","158","96.0","18.9"
"113",9,"Frank Gore",NYJ,"78","129","100.2","8.6"
"114",9,"Darwin Thompson",KC,"78","121","104.1","12.3"
"115",9,"LeSean McCoy",TB,"88","159","103.6","16.7"
"116",9,"Jaret Patterson",WAS,"59","191","111.2","23.5"
"117",10,"Kene Nwangwu",MIN,"83","149","108.6","15.5"
"118",10,"Gerrid Doaks",MIA,"69","155","105.1","24.3"
"119",10,"Kyle Juszczyk",SF,"61","128","93.8","21.9"
"120",10,"Travis Homer",SEA,"74","133","111.4","12.3"
"121",10,"JaMycal Hasty",SF,"56","167","118.9","24.8"
"122",10,"Jaylen Samuels",PIT,"85","146","116.9","20.0"
"123",10,"Alex Collins",SEA,"65","144","101.0","25.1"
"124",10,"Devonta Freeman",BUF,"96","120","106.0","7.8"
"125",10,"Pooka Williams Jr.",CIN,"67","194","119.5","33.9"
"126",10,"Trayveon Williams",CIN,"81","125","99.3","13.6"
"127",10,"Gary Brightwell",NYG,"93","177","122.6","30.5"
"128",10,"Dion Lewis",NYG,"92","148","113.4","17.5"
"129",10,"Stevie Scott III",NO,"86","134","105.3","16.4"
"130",10,"Jake Funk",LAR,"101","141","120.7","13.2"
"131",10,"D'Onta Foreman",TEN,"82","119","99.0","14.7"
"132",10,"Trey Ragas",LV,"96","171","117.0","24.8"
"133",10,"Ty Montgomery",NO,"85","121","103.2","14.8"
"134",10,"Jeremy McNichols",TEN,"89","123","107.6","12.6"
"135",10,"Ameer Abdullah",MIN,"85","157","122.7","26.5"
"136",10,"Alec Ingold",LV,"80","118","98.5","17.6"
"137",10,"C.J. Ham",MIN,"81","119","100.5","18.5"
"138",10,"Trenton Cannon",CAR,"65","137","101.5","27.3"
"139",10,"Raymond Calais",LAR,"101","151","123.0","16.2"
"140",10,"Josh Adams",NYJ,"117","138","126.8","6.9"
"141",10,"Theo Riddick",LV,"102","136","128.8","13.4"
