"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"319",13,"DeeJay Dallas",SEA,"RB88","196","386","307.4","33.4"
"320",13,"Donovan Peoples-Jones",CLE,"WR107","214","378","307.5","29.7"
"321",13,"Greg Ward",PHI,"WR108","198","375","311.6","29.7"
"322",13,"Andy Isabella",ARI,"WR109","244","379","308.5","27.2"
"323",13,"Ito Smith",ATL,"RB89","187","386","306.4","36.6"
"324",13,"Dalton Schultz",DAL,"TE36","92","354","282.7","48.4"
"325",13,"Mac Jones",NE,"QB37","220","385","318.7","29.9"
"326",13,"Duke Johnson Jr.",FA,"RB90","143","385","308.5","38.6"
"327",13,"Carolina Panthers",CAR,"DST28","165","344","310.5","20.9"
"328",13,"Mo Alie-Cox",IND,"TE37","137","369","268.1","55.0"
"329",13,"Dyami Brown",WAS,"WR110","151","383","287.9","58.7"
"330",13,"Jordan Howard",PHI,"RB91","217","375","309.4","33.0"
"331",14,"Jordan Akins",HOU,"TE38","123","357","279.9","45.1"
"332",14,"Cairo Santos",CHI,"K28","221","342","303.6","24.6"
"333",14,"Donald Parham Jr.",LAC,"TE39","189","356","295.6","32.9"
"334",14,"Miles Boykin",BAL,"WR111","269","379","322.8","23.0"
"335",14,"Will Dissly",SEA,"TE40","194","366","305.5","35.1"
"336",14,"Kalen Ballage",PIT,"RB92","188","388","324.0","33.5"
"337",14,"Demarcus Robinson",KC,"WR112","145","384","296.4","55.1"
"338",14,"Byron Pringle",KC,"WR113","148","384","283.1","59.2"
"339",14,"Justice Hill",BAL,"RB93","237","388","327.2","26.8"
"340",14,"Jordan Wilkins",IND,"RB94","245","373","324.8","28.0"
"341",14,"Pat Freiermuth",PIT,"TE41","141","370","292.6","48.4"
"342",14,"Adrian Peterson",DET,"RB95","186","393","323.7","38.3"
"343",14,"Brian Hill",TEN,"RB96","182","380","333.2","28.4"
"344",14,"Eno Benjamin",ARI,"RB97","235","382","333.1","23.8"
"345",14,"Jermar Jefferson",DET,"RB98","187","378","313.3","40.7"
"346",14,"Houston Texans",HOU,"DST29","201","355","314.2","23.0"
"347",14,"Dan Bailey",FA,"K29","233","325","287.2","26.4"
"348",14,"Andy Dalton",CHI,"QB38","232","393","339.1","32.9"
"349",14,"John Ross",NYG,"WR114","263","395","327.3","27.2"
"350",14,"Elijah Mitchell",SF,"RB99","181","376","279.6","61.2"
